years_of_experience,loss_tolerance,panic_behavior,financial_behavior,engagement_level,investment_goal,target_amount,lump_sum_investment,monthly_investment,timeframe,income,risk_score
6,wait_and_see,no_experience,save_half,monthly,wealth building,202695,45584,4302,7,medium,34.5
10,buy_more,yes_sometimes,save_half,monthly,wealth building,243608,309128,360,20,medium,38.4
4,wait_and_see,no_experience,invest_all,monthly,buy a house,174783,77089,1003,10,medium,19.8
1,wait_and_see,no_experience,save_half,rarely,save for a car,14018,4370,62,2,low,9.3
7,buy_more,no_never,invest_all,monthly,buy a house,138983,104850,1177,7,medium,28.4
4,sell_immediately,no_experience,save_all,rarely,emergency fund,8883,2250,83,3,low,3.2
18,buy_more,no_never,save_half,monthly,wealth building,340769,141732,4413,10,medium,46.7
7,wait_and_see,yes_sometimes,invest_all,weekly,buy a house,277395,169690,7443,7,high,40.1
2,wait_and_see,yes_always,save_all,quarterly,emergency fund,18671,2738,457,3,low,6.6
5,wait_and_see,yes_sometimes,save_half,rarely,save for a car,42185,21656,553,4,medium,10.2
1,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,18799,3006,396,1,low,10.5
20,buy_more,no_never,invest_all,weekly,wealth building,313876,458725,812,25,medium,58.5
3,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,28421,22243,473,2,low,7.9
12,wait_and_see,no_never,save_half,daily,retirement,3095837,4793813,20191,15,high,85.1
15,buy_more,no_never,invest_all,daily,retirement,2068388,781676,34981,15,high,90.5
4,wait_and_see,no_never,invest_all,weekly,buy a house,131211,108499,1198,5,medium,22.0
3,wait_and_see,no_experience,save_half,quarterly,retirement,943571,624783,6611,7,high,60.9
4,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,8075,3556,329,2,medium,6.5
18,buy_more,no_never,save_half,daily,retirement,360225,280774,1085,10,medium,53.9
1,sell_immediately,no_experience,save_all,rarely,save for a car,10904,1140,127,4,low,2.3
10,wait_and_see,yes_sometimes,invest_all,daily,retirement,991558,253413,5085,15,medium,42.1
15,buy_more,no_never,invest_all,weekly,retirement,326055,226567,258,20,medium,50.0
2,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,10502,8545,164,2,medium,2.5
15,buy_more,no_never,invest_all,weekly,wealth building,277857,330247,658,15,medium,46.7
5,sell_immediately,yes_sometimes,save_all,quarterly,save for a car,42898,34745,401,4,medium,17.2
8,wait_and_see,no_never,invest_all,weekly,retirement,998293,542591,4070,10,medium,43.5
4,wait_and_see,yes_sometimes,invest_all,monthly,wealth building,138856,177253,1645,7,high,59.0
3,wait_and_see,yes_sometimes,invest_all,weekly,buy a house,307237,420645,1557,12,high,31.9
6,wait_and_see,no_never,invest_all,monthly,buy a house,536471,1062410,2846,12,high,41.8
15,wait_and_see,no_never,save_half,monthly,wealth building,264629,116363,924,10,medium,41.9
18,buy_more,yes_sometimes,save_half,weekly,retirement,1867621,896755,21706,20,high,80.2
3,wait_and_see,yes_sometimes,invest_all,quarterly,retirement,2771684,701188,18892,10,high,69.9
8,buy_more,no_never,invest_all,weekly,wealth building,91378,18840,344,12,medium,43.7
5,buy_more,yes_sometimes,invest_all,weekly,wealth building,101333,102657,853,5,medium,30.7
15,buy_more,no_never,invest_all,daily,wealth building,732895,1893476,8036,10,high,83.0
15,wait_and_see,no_never,invest_all,weekly,retirement,764660,253886,5194,20,high,90.1
3,wait_and_see,no_never,save_half,weekly,buy a house,94561,100922,637,7,high,31.0
3,wait_and_see,no_experience,save_all,quarterly,emergency fund,18525,18895,166,4,medium,16.8
3,wait_and_see,no_experience,save_half,quarterly,retirement,2418919,2288907,26403,7,high,67.5
2,wait_and_see,yes_sometimes,save_half,rarely,buy a house,263793,108095,18373,3,high,24.9
15,buy_more,yes_sometimes,invest_all,monthly,wealth building,176145,54898,1149,20,medium,39.7
5,buy_more,yes_sometimes,invest_all,monthly,wealth building,334258,293131,2112,7,high,61.3
3,wait_and_see,no_experience,save_all,quarterly,emergency fund,14351,4551,217,5,medium,8.1
1,wait_and_see,yes_sometimes,spend_it,quarterly,vacation,6686,3638,45,3,low,7.3
30,buy_more,no_never,invest_all,weekly,wealth building,648439,1058697,4579,20,high,83.4
10,wait_and_see,no_never,save_half,monthly,retirement,394975,119015,2149,15,medium,46.9
1,wait_and_see,no_experience,save_half,monthly,buy a house,150423,46442,3386,3,medium,11.2
12,buy_more,no_never,invest_all,monthly,retirement,528233,185405,8255,10,medium,59.1
8,buy_more,yes_sometimes,invest_all,weekly,retirement,1141977,197540,2507,20,medium,46.7
3,sell_immediately,no_experience,save_all,rarely,save for a car,70775,67108,1460,4,high,25.1
4,wait_and_see,yes_sometimes,invest_all,weekly,buy a house,355172,174347,4691,5,high,29.1
3,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,6622,3282,60,4,low,3.5
3,sell_immediately,no_experience,save_all,quarterly,buy a house,74857,22305,628,5,low,11.2
6,buy_more,no_never,invest_all,weekly,retirement,822413,256072,2191,12,medium,50.4
20,buy_more,no_never,invest_all,daily,wealth building,1225831,721802,4079,25,high,77.7
4,sell_immediately,yes_sometimes,save_half,rarely,buy a house,434551,796585,22055,2,high,30.6
4,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,28690,7847,464,5,medium,4.2
5,buy_more,no_experience,save_half,quarterly,buy a house,159742,101023,1465,12,medium,26.2
6,wait_and_see,no_experience,save_half,monthly,buy a house,318003,546019,3339,10,high,37.8
2,wait_and_see,no_experience,save_all,rarely,buy a house,381611,279461,13149,4,high,30.7
4,wait_and_see,yes_sometimes,save_half,monthly,buy a house,188374,117624,924,4,medium,19.9
7,wait_and_see,yes_sometimes,save_half,monthly,wealth building,139620,32234,2388,10,high,62.8
2,wait_and_see,yes_sometimes,save_all,quarterly,buy a house,109547,68402,424,4,medium,23.2
4,sell_immediately,yes_sometimes,save_half,quarterly,buy a house,160637,208606,1374,5,medium,9.6
0,wait_and_see,yes_sometimes,spend_it,quarterly,emergency fund,25059,7946,1515,1,medium,2.6
12,wait_and_see,no_never,invest_all,weekly,retirement,806846,1062192,4211,10,medium,50.5
25,buy_more,no_never,invest_all,daily,retirement,2458576,5291394,6578,20,high,100.0
18,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,122671,40805,609,15,medium,41.5
2,sell_immediately,yes_sometimes,save_all,rarely,vacation,7033,706,246,2,medium,5.1
3,wait_and_see,no_experience,save_half,rarely,save for a car,32984,12466,815,3,low,10.4
4,buy_more,no_never,save_half,weekly,retirement,1531554,1468888,9619,5,high,76.7
3,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,14201,5986,175,5,low,6.2
2,sell_immediately,yes_sometimes,spend_it,quarterly,vacation,3280,1789,95,2,low,1.2
1,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,16111,3565,238,3,low,1.8
7,buy_more,no_never,save_half,quarterly,wealth building,116934,176034,931,12,high,79.2
8,buy_more,no_never,save_half,weekly,buy a house,113187,185263,565,7,medium,27.3
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,688015,1488571,1862,20,high,82.0
0,wait_and_see,yes_always,save_all,rarely,emergency fund,12130,2057,258,2,low,2.6
12,buy_more,yes_sometimes,save_half,weekly,wealth building,350307,151101,1452,20,medium,43.9
2,wait_and_see,no_experience,save_half,monthly,save for a car,26358,17442,1971,2,high,33.5
5,sell_immediately,yes_sometimes,save_half,quarterly,save for a car,21964,18689,206,4,medium,15.0
18,wait_and_see,no_never,save_half,weekly,wealth building,340585,264950,1978,10,high,71.4
2,wait_and_see,yes_sometimes,save_all,monthly,buy a house,142090,47261,3659,4,medium,19.5
2,wait_and_see,no_experience,save_half,quarterly,buy a house,184936,199995,4445,2,medium,16.6
5,wait_and_see,no_experience,save_half,weekly,buy a house,247162,232059,7736,5,high,33.1
18,wait_and_see,no_never,invest_all,monthly,retirement,692535,494008,5970,10,medium,42.3
1,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,46171,46672,292,5,high,5.7
0,wait_and_see,yes_always,save_all,rarely,vacation,15707,13661,614,1,medium,1.0
2,wait_and_see,no_experience,save_half,rarely,save for a car,56059,40774,1138,3,high,18.5
8,wait_and_see,no_never,save_half,monthly,retirement,1089519,179202,7204,15,medium,40.3
1,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,5325,1368,302,1,medium,7.9
4,wait_and_see,no_never,invest_all,monthly,retirement,2709126,3912914,19810,12,high,70.8
18,wait_and_see,yes_sometimes,invest_all,weekly,retirement,1224819,608509,6953,15,high,78.4
2,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,4719,1825,39,3,low,7.9
8,buy_more,yes_sometimes,invest_all,quarterly,wealth building,137271,99954,214,12,medium,37.3
8,buy_more,yes_sometimes,save_half,monthly,retirement,256926,238260,2386,7,medium,46.9
3,buy_more,no_experience,save_half,quarterly,buy a house,192918,63608,4024,5,high,36.4
5,wait_and_see,yes_sometimes,save_half,quarterly,wealth building,537400,627190,2366,7,high,49.8
2,wait_and_see,yes_always,save_all,quarterly,emergency fund,9774,2095,87,3,low,9.0
4,sell_immediately,yes_sometimes,save_half,rarely,save for a car,25596,2633,181,5,low,16.5
7,buy_more,no_experience,invest_all,monthly,buy a house,94293,53391,488,7,medium,20.0
2,sell_immediately,yes_sometimes,save_all,rarely,vacation,8201,6905,88,3,low,9.5
12,wait_and_see,yes_sometimes,invest_all,weekly,retirement,287432,195424,685,20,medium,51.5
4,wait_and_see,no_never,invest_all,weekly,buy a house,183882,218692,5891,5,high,44.0
3,wait_and_see,yes_sometimes,save_half,quarterly,wealth building,259950,122179,1659,7,medium,35.1
4,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,126900,57459,447,5,medium,19.8
3,buy_more,no_experience,invest_all,monthly,wealth building,144222,141108,430,12,medium,34.6
3,wait_and_see,yes_sometimes,save_all,monthly,buy a house,32182,7341,619,4,low,13.2
2,wait_and_see,yes_always,save_all,quarterly,emergency fund,11558,2143,157,2,low,2.5
4,wait_and_see,no_never,save_half,quarterly,wealth building,183141,53228,3254,10,high,59.9
1,wait_and_see,no_experience,save_half,monthly,emergency fund,6921,2751,51,4,low,1.7
2,wait_and_see,no_experience,save_all,rarely,save for a car,15212,7059,241,4,low,6.5
5,buy_more,yes_sometimes,save_half,weekly,retirement,656143,563939,13058,5,high,69.0
1,wait_and_see,yes_always,save_all,rarely,emergency fund,10535,4759,436,1,medium,2.6
2,sell_immediately,yes_sometimes,spend_it,quarterly,vacation,12108,2295,577,2,medium,15.0
7,wait_and_see,yes_sometimes,save_half,quarterly,wealth building,527991,356825,14096,7,high,57.3
10,buy_more,no_never,invest_all,daily,retirement,3231016,3195407,11864,10,high,80.3
5,buy_more,yes_sometimes,save_half,quarterly,buy a house,185282,92471,1870,12,medium,18.8
8,wait_and_see,no_experience,invest_all,quarterly,retirement,2357203,1659566,62050,7,high,77.4
3,wait_and_see,no_experience,save_all,quarterly,save for a car,94417,22824,3237,5,high,27.6
5,wait_and_see,no_experience,save_half,quarterly,wealth building,267492,127183,2256,7,medium,38.5
2,sell_immediately,yes_sometimes,save_all,quarterly,vacation,5808,5371,131,1,low,1.1
3,sell_immediately,yes_sometimes,save_half,rarely,save for a car,32127,22655,679,4,medium,18.1
5,wait_and_see,no_experience,save_half,monthly,emergency fund,42290,31334,404,4,high,10.7
6,wait_and_see,no_experience,invest_all,monthly,wealth building,255633,83786,1670,5,medium,37.3
20,buy_more,no_never,invest_all,monthly,wealth building,399447,269523,1561,25,medium,46.8
4,sell_immediately,no_experience,save_all,rarely,buy a house,324427,273561,6579,5,high,27.1
6,wait_and_see,no_never,save_half,weekly,wealth building,126610,34772,1654,12,high,65.7
5,wait_and_see,no_never,invest_all,monthly,retirement,2787725,5310836,27825,7,high,70.1
5,sell_immediately,yes_sometimes,save_all,monthly,buy a house,208320,504132,3906,3,high,32.0
4,wait_and_see,yes_sometimes,save_half,weekly,retirement,815298,651546,5365,10,medium,33.2
2,wait_and_see,yes_sometimes,spend_it,quarterly,emergency fund,9228,4798,78,3,low,1.0
8,wait_and_see,no_experience,invest_all,monthly,retirement,2911191,6154458,41853,7,high,76.3
12,buy_more,no_never,save_half,weekly,wealth building,135878,114167,586,20,medium,47.3
2,sell_immediately,yes_always,spend_it,quarterly,vacation,8715,2684,211,3,low,3.9
2,wait_and_see,yes_sometimes,save_all,rarely,vacation,16971,24045,540,1,medium,11.9
4,wait_and_see,no_never,invest_all,weekly,retirement,3355083,1777421,43944,12,high,80.3
6,wait_and_see,no_experience,save_half,quarterly,wealth building,517539,578853,3761,7,high,59.8
2,wait_and_see,no_experience,save_half,rarely,emergency fund,53898,46530,640,2,high,14.3
18,buy_more,yes_sometimes,save_half,monthly,retirement,1407881,1379545,4066,20,medium,49.7
12,buy_more,no_never,invest_all,daily,retirement,1812717,2812462,10646,20,high,90.3
5,sell_immediately,no_experience,save_all,monthly,buy a house,105130,160663,837,4,medium,18.9
10,wait_and_see,no_never,save_half,daily,wealth building,555295,517435,3532,20,high,60.8
5,wait_and_see,no_experience,invest_all,weekly,buy a house,263234,312668,575,12,high,33.6
25,buy_more,yes_sometimes,invest_all,weekly,retirement,756578,675474,3245,15,medium,48.6
3,sell_immediately,no_experience,save_half,rarely,buy a house,63591,11103,546,5,low,12.9
4,wait_and_see,no_experience,save_all,monthly,emergency fund,26757,8811,418,3,medium,14.2
2,wait_and_see,yes_sometimes,spend_it,quarterly,emergency fund,5942,791,115,3,medium,1.0
4,wait_and_see,no_never,save_half,monthly,buy a house,122999,29532,781,10,medium,15.0
1,wait_and_see,no_experience,save_all,monthly,buy a house,76765,21181,461,3,low,6.2
5,buy_more,no_experience,invest_all,quarterly,buy a house,520981,425555,6756,10,high,32.3
5,wait_and_see,no_never,save_half,quarterly,buy a house,124738,11928,1369,5,medium,23.0
6,wait_and_see,yes_sometimes,invest_all,monthly,retirement,1846650,1237017,22761,12,high,74.8
15,wait_and_see,no_never,save_half,weekly,wealth building,433247,264130,806,20,medium,42.9
6,buy_more,no_experience,save_half,quarterly,buy a house,111444,86200,1405,5,medium,26.6
5,wait_and_see,no_experience,save_half,monthly,buy a house,186961,160573,7122,4,high,33.6
4,sell_immediately,no_experience,save_half,monthly,save for a car,88488,83270,1074,5,high,26.2
4,wait_and_see,no_never,save_half,quarterly,buy a house,357625,263803,13556,5,high,28.9
8,buy_more,no_experience,invest_all,weekly,retirement,1118899,1467736,23200,5,high,78.7
30,buy_more,yes_sometimes,invest_all,daily,wealth building,282694,156087,383,30,medium,43.2
30,buy_more,no_never,invest_all,weekly,retirement,225689,58544,1127,15,medium,53.3
2,wait_and_see,yes_always,spend_it,quarterly,emergency fund,29104,29365,821,2,medium,7.7
3,wait_and_see,no_experience,invest_all,weekly,wealth building,223652,151380,676,10,medium,34.5
12,wait_and_see,no_never,save_half,weekly,wealth building,512194,650277,6421,10,high,70.0
0,sell_immediately,yes_sometimes,save_all,rarely,vacation,9555,3973,48,3,low,1.0
2,sell_immediately,yes_sometimes,spend_it,quarterly,vacation,11372,7170,791,1,medium,9.7
2,wait_and_see,yes_sometimes,spend_it,quarterly,vacation,10129,2384,236,3,low,12.5
4,wait_and_see,yes_sometimes,save_half,rarely,save for a car,88793,97476,1760,5,high,28.9
15,buy_more,no_never,invest_all,daily,wealth building,528041,716136,2328,25,high,85.2
3,sell_immediately,no_experience,save_all,quarterly,buy a house,183046,65289,5311,3,high,19.1
0,sell_immediately,yes_always,save_all,rarely,emergency fund,7213,4697,95,3,medium,5.8
12,buy_more,no_never,invest_all,weekly,wealth building,214281,155864,2137,10,medium,48.6
3,wait_and_see,yes_sometimes,invest_all,weekly,buy a house,235002,104081,6193,5,high,24.9
8,wait_and_see,no_never,invest_all,weekly,wealth building,280742,201303,952,20,medium,38.0
12,wait_and_see,no_never,invest_all,weekly,retirement,716089,780935,1556,20,medium,53.2
5,wait_and_see,no_never,save_half,monthly,retirement,2683307,3356526,54778,5,high,73.1
0,wait_and_see,yes_sometimes,save_all,quarterly,vacation,3409,1111,68,3,low,8.4
6,wait_and_see,yes_sometimes,save_half,weekly,wealth building,56793,44311,251,10,medium,28.8
12,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,313678,278486,2725,10,medium,45.6
15,buy_more,yes_sometimes,save_half,weekly,wealth building,409185,229390,835,20,medium,39.7
1,sell_immediately,yes_sometimes,save_all,rarely,vacation,15720,8911,578,2,medium,7.1
8,wait_and_see,no_never,invest_all,weekly,retirement,536733,227818,13788,5,high,71.9
3,wait_and_see,no_experience,save_half,quarterly,emergency fund,9345,2949,78,4,low,2.8
30,buy_more,no_never,invest_all,monthly,retirement,748578,687990,11244,15,high,97.5
10,wait_and_see,yes_sometimes,invest_all,weekly,retirement,760795,769209,1263,15,high,68.4
1,wait_and_see,no_experience,save_half,quarterly,save for a car,17190,18146,193,2,medium,18.3
2,wait_and_see,yes_always,save_all,rarely,emergency fund,20080,7092,806,2,medium,3.4
5,sell_immediately,no_experience,save_half,monthly,save for a car,47014,13805,2807,2,medium,14.9
5,buy_more,no_never,save_half,quarterly,wealth building,200871,101728,2739,7,medium,45.4
5,buy_more,no_never,save_half,quarterly,retirement,646167,418581,3316,5,medium,44.8
1,sell_immediately,yes_sometimes,spend_it,rarely,vacation,5740,2252,522,1,medium,7.4
15,buy_more,no_never,invest_all,monthly,wealth building,77399,54125,532,15,medium,44.5
8,buy_more,no_never,save_half,daily,wealth building,222419,176508,565,15,medium,43.8
6,buy_more,no_experience,save_half,weekly,wealth building,734919,1072947,7673,12,high,64.7
4,wait_and_see,yes_sometimes,save_half,monthly,emergency fund,42892,33020,2160,4,high,14.0
7,buy_more,yes_sometimes,save_half,monthly,wealth building,564915,205634,9737,7,high,61.7
4,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,8885,2842,324,2,medium,8.0
18,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,147301,48052,1531,10,medium,45.8
7,wait_and_see,no_experience,save_half,monthly,retirement,3460687,5969539,18071,12,high,72.6
8,buy_more,yes_sometimes,invest_all,weekly,wealth building,279343,520427,3618,5,high,72.7
10,buy_more,yes_sometimes,invest_all,weekly,wealth building,707928,1020066,5543,15,high,76.4
1,sell_immediately,yes_sometimes,save_all,rarely,vacation,5180,941,324,1,low,4.1
18,buy_more,yes_sometimes,invest_all,daily,wealth building,1043825,1072480,3772,15,high,70.8
1,sell_immediately,no_experience,save_half,monthly,emergency fund,5065,2592,138,2,low,4.1
5,wait_and_see,no_never,save_half,quarterly,buy a house,557484,1086498,2665,12,high,33.5
20,buy_more,no_never,invest_all,daily,wealth building,696957,1271870,4138,20,high,79.9
4,wait_and_see,no_experience,invest_all,quarterly,wealth building,121445,166355,782,7,medium,37.9
15,buy_more,no_never,invest_all,weekly,retirement,259260,222693,275,25,medium,56.8
6,wait_and_see,no_experience,save_half,quarterly,buy a house,107443,78056,244,12,medium,25.3
3,wait_and_see,no_experience,invest_all,monthly,retirement,1331140,2929643,19831,5,high,70.0
0,sell_immediately,yes_sometimes,save_all,rarely,emergency fund,16456,4733,173,3,low,1.0
8,buy_more,yes_sometimes,save_half,weekly,wealth building,240653,207011,626,12,high,67.0
5,sell_immediately,no_experience,save_all,quarterly,buy a house,350479,427468,9157,3,high,25.6
20,buy_more,yes_sometimes,invest_all,daily,retirement,3504897,1142920,29140,15,high,78.2
2,wait_and_see,yes_sometimes,save_half,monthly,save for a car,25347,48833,460,4,high,25.0
2,sell_immediately,no_experience,save_all,monthly,emergency fund,16096,5320,192,2,low,1.0
2,wait_and_see,yes_always,spend_it,quarterly,emergency fund,13692,6417,749,1,low,4.4
8,buy_more,yes_sometimes,invest_all,weekly,wealth building,178890,211006,625,10,medium,46.8
18,wait_and_see,no_never,save_half,daily,retirement,950265,694196,7249,15,medium,49.2
0,sell_immediately,yes_always,save_all,rarely,vacation,17444,13261,844,1,medium,6.5
3,buy_more,no_experience,save_half,weekly,retirement,2597493,1593836,42430,5,high,68.2
3,wait_and_see,no_experience,save_half,quarterly,buy a house,42271,4620,528,3,low,6.2
4,buy_more,yes_sometimes,invest_all,quarterly,buy a house,127920,64870,2690,7,high,34.0
1,sell_immediately,no_experience,save_half,rarely,buy a house,80876,49016,956,5,medium,13.0
8,buy_more,no_never,save_half,monthly,wealth building,53151,39554,326,7,medium,40.0
15,buy_more,no_never,save_half,monthly,retirement,2308082,5193400,7368,15,high,89.0
4,wait_and_see,yes_sometimes,save_all,quarterly,buy a house,90611,81272,2507,2,medium,18.9
8,buy_more,no_never,save_half,weekly,buy a house,158970,195495,392,12,medium,29.5
7,buy_more,no_experience,invest_all,monthly,buy a house,164917,113132,1382,7,medium,28.2
8,buy_more,yes_sometimes,save_half,weekly,wealth building,259260,86925,1864,7,medium,39.9
5,buy_more,yes_sometimes,invest_all,quarterly,buy a house,485739,801547,3853,5,high,31.2
8,buy_more,no_never,invest_all,weekly,wealth building,99743,30139,539,10,medium,40.5
5,wait_and_see,yes_sometimes,invest_all,weekly,wealth building,208922,156838,1761,5,high,61.9
3,wait_and_see,no_experience,invest_all,weekly,wealth building,206614,35862,1110,12,medium,35.9
7,buy_more,no_never,save_half,quarterly,buy a house,77671,57864,335,7,medium,17.1
2,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,17124,7438,514,2,medium,6.3
2,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,29205,32969,903,2,medium,2.9
18,buy_more,yes_sometimes,save_half,monthly,wealth building,845132,800262,16097,10,high,76.1
2,sell_immediately,yes_always,save_all,quarterly,emergency fund,4725,3674,89,2,low,3.4
15,wait_and_see,yes_sometimes,save_half,daily,wealth building,904002,816349,9117,20,high,74.1
5,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,48180,16140,2361,2,high,13.7
2,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,34982,25344,245,5,medium,9.1
6,buy_more,yes_sometimes,save_half,monthly,retirement,647804,695666,5835,7,medium,52.7
5,sell_immediately,yes_sometimes,save_half,monthly,emergency fund,4308,1916,49,3,low,1.0
15,buy_more,no_never,invest_all,daily,retirement,252076,160017,524,20,medium,52.0
12,wait_and_see,no_never,save_half,weekly,wealth building,575580,817742,2258,10,high,74.6
8,wait_and_see,no_never,invest_all,weekly,retirement,3046303,3258015,8833,10,high,75.9
4,buy_more,yes_sometimes,save_half,monthly,retirement,299494,54494,6197,5,medium,39.4
5,buy_more,yes_sometimes,invest_all,quarterly,wealth building,132891,18891,2191,5,medium,33.9
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,124492,62804,309,15,medium,42.0
1,wait_and_see,yes_sometimes,save_all,monthly,save for a car,25871,48330,807,3,high,25.2
6,buy_more,no_experience,save_half,monthly,buy a house,327694,342568,1412,10,high,35.2
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,908929,1986212,3048,20,high,82.4
4,sell_immediately,yes_sometimes,save_half,quarterly,buy a house,107290,62249,3548,3,medium,21.3
6,wait_and_see,yes_sometimes,save_half,weekly,buy a house,159623,65360,733,7,medium,15.2
25,buy_more,yes_sometimes,invest_all,monthly,retirement,1700550,1925526,25755,15,high,95.3
7,buy_more,yes_sometimes,save_half,weekly,retirement,3035134,1385889,14497,12,high,73.1
4,sell_immediately,no_experience,save_half,rarely,buy a house,212785,326298,2648,4,high,26.2
8,buy_more,no_experience,invest_all,quarterly,retirement,1469122,2125946,33944,7,high,90.1
20,buy_more,no_never,invest_all,daily,wealth building,150351,142193,215,20,medium,46.9
3,buy_more,no_experience,save_half,monthly,buy a house,408279,358852,5414,12,high,33.2
0,wait_and_see,yes_always,save_all,quarterly,vacation,6937,4227,101,3,low,7.1
8,buy_more,no_never,save_half,weekly,wealth building,238403,124321,1815,15,medium,38.2
12,wait_and_see,no_never,save_half,weekly,retirement,1134304,1111052,5882,15,medium,49.1
2,sell_immediately,yes_sometimes,save_all,rarely,vacation,14049,3386,480,2,medium,9.1
15,buy_more,yes_sometimes,save_half,weekly,wealth building,1226292,1572377,9705,20,high,76.4
2,sell_immediately,yes_sometimes,spend_it,quarterly,vacation,10606,10142,174,2,medium,9.8
15,buy_more,no_never,invest_all,monthly,wealth building,276407,212077,324,30,medium,44.3
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,323593,325945,659,15,medium,43.1
18,buy_more,yes_sometimes,save_half,monthly,wealth building,201228,171550,2491,10,medium,46.8
3,wait_and_see,yes_sometimes,invest_all,monthly,wealth building,331930,204491,1986,12,medium,36.4
3,wait_and_see,no_never,invest_all,weekly,buy a house,85268,83085,638,12,high,30.1
4,buy_more,yes_sometimes,save_half,weekly,buy a house,64626,20395,792,10,medium,22.5
5,wait_and_see,no_never,save_half,monthly,wealth building,390703,213626,7240,12,high,58.9
2,sell_immediately,no_experience,save_all,rarely,buy a house,264550,170335,7567,3,high,25.3
2,wait_and_see,no_experience,save_half,quarterly,buy a house,97865,105426,758,5,medium,11.3
15,wait_and_see,yes_sometimes,save_half,daily,wealth building,188322,54282,538,20,medium,34.8
4,wait_and_see,no_experience,save_half,weekly,wealth building,382915,401969,7316,7,high,61.4
2,wait_and_see,no_experience,save_all,monthly,buy a house,32276,14863,347,5,low,11.2
8,buy_more,no_experience,invest_all,quarterly,wealth building,142143,44179,473,12,medium,43.9
15,buy_more,yes_sometimes,invest_all,monthly,retirement,1969562,4651123,9471,20,high,88.9
3,wait_and_see,yes_sometimes,save_all,monthly,emergency fund,9783,5550,67,5,low,6.1
2,wait_and_see,yes_sometimes,spend_it,quarterly,vacation,7072,2648,160,3,medium,9.7
3,buy_more,no_never,save_half,monthly,wealth building,329770,750937,2336,10,high,62.7
3,buy_more,yes_sometimes,save_half,weekly,wealth building,278739,106818,963,10,medium,35.9
4,sell_immediately,no_experience,save_all,rarely,save for a car,23984,3555,603,3,medium,7.9
18,wait_and_see,yes_sometimes,save_half,daily,wealth building,856415,1199732,3132,20,high,65.7
5,wait_and_see,no_experience,save_half,quarterly,retirement,1858845,1608648,17571,7,high,61.3
15,buy_more,yes_sometimes,invest_all,monthly,retirement,545210,1130484,3850,20,high,85.7
2,sell_immediately,yes_sometimes,save_all,quarterly,vacation,8601,4980,123,2,low,7.0
1,wait_and_see,no_experience,save_all,quarterly,save for a car,95040,16730,3179,3,high,18.3
4,buy_more,no_never,save_half,quarterly,buy a house,152949,142433,1637,5,medium,19.9
4,buy_more,yes_sometimes,invest_all,quarterly,wealth building,736912,1532553,4601,7,high,61.4
2,sell_immediately,no_experience,save_half,quarterly,save for a car,23952,2403,600,3,medium,21.3
15,wait_and_see,yes_sometimes,save_half,weekly,wealth building,109200,292778,660,15,high,74.7
3,sell_immediately,no_experience,save_half,quarterly,emergency fund,12071,9361,107,2,low,1.0
10,wait_and_see,no_never,save_half,monthly,retirement,1830093,902295,27274,15,high,84.6
25,buy_more,yes_sometimes,invest_all,daily,wealth building,883350,1366723,6083,15,high,73.3
20,buy_more,no_never,invest_all,monthly,wealth building,160827,126844,135,20,medium,47.9
2,sell_immediately,yes_always,spend_it,quarterly,emergency fund,13674,8146,296,2,low,5.9
2,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,76244,48064,3743,4,high,12.1
7,wait_and_see,yes_sometimes,invest_all,monthly,retirement,556885,821544,2281,10,medium,48.9
4,buy_more,yes_sometimes,invest_all,quarterly,buy a house,170529,68487,1977,10,medium,18.5
1,wait_and_see,no_experience,save_half,quarterly,buy a house,69157,66024,1920,2,medium,18.5
8,buy_more,no_never,save_half,weekly,retirement,1316066,805335,6752,15,high,81.8
15,buy_more,yes_sometimes,invest_all,weekly,wealth building,74576,26779,608,15,medium,51.1
15,buy_more,yes_sometimes,invest_all,daily,retirement,649125,270815,1917,25,medium,51.4
15,buy_more,no_never,invest_all,daily,retirement,279880,63342,1541,30,medium,53.6
