years_of_experience,loss_tolerance,panic_behavior,financial_behavior,engagement_level,investment_goal,target_amount,lump_sum_investment,monthly_investment,timeframe,income,risk_score
6,buy_more,no_experience,save_half,monthly,save for a car,39729,6622,309,5,medium,75.2
4,wait_and_see,no_experience,save_half,monthly,save for a car,40936,4809,518,7,high,72.9
20,buy_more,no_never,invest_all,daily,retirement,785006,515285,795,30,high,100.0
2,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,11750,3213,86,2,low,33.2
0,sell_immediately,no_experience,save_half,rarely,emergency fund,11234,2144,74,4,medium,26.3
6,wait_and_see,yes_sometimes,save_half,monthly,buy a house,94636,8773,367,8,medium,69.7
6,wait_and_see,no_never,invest_all,monthly,wealth building,276169,86394,540,15,high,100.0
4,wait_and_see,yes_sometimes,save_half,monthly,save for a car,26296,414,235,5,medium,58.0
6,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,32135,6115,296,7,high,67.5
6,wait_and_see,no_never,invest_all,monthly,wealth building,91752,11146,359,10,medium,100.0
2,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,6029,525,213,1,medium,12.6
0,sell_immediately,no_experience,save_all,quarterly,save for a car,19580,8196,236,2,medium,32.8
5,buy_more,no_experience,save_half,quarterly,buy a house,108726,20009,1103,5,medium,68.3
3,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,64212,17333,829,5,high,85.3
0,wait_and_see,yes_always,save_all,rarely,vacation,12325,4077,151,2,medium,15.3
3,wait_and_see,yes_sometimes,save_half,monthly,buy a house,280144,120934,2573,7,high,71.3
6,buy_more,yes_sometimes,save_half,quarterly,buy a house,73433,8056,195,7,medium,68.4
5,wait_and_see,yes_sometimes,invest_all,quarterly,save for a car,15688,3878,22,7,medium,59.3
6,buy_more,no_experience,save_half,weekly,wealth building,74564,12019,385,10,medium,92.4
3,wait_and_see,no_experience,save_half,quarterly,buy a house,104679,24590,275,8,medium,54.2
10,wait_and_see,no_experience,invest_all,weekly,retirement,946725,519538,2572,12,high,100.0
1,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,15040,5365,108,2,low,33.1
5,buy_more,yes_sometimes,save_half,monthly,buy a house,202618,94338,658,8,high,84.1
4,wait_and_see,yes_sometimes,save_half,monthly,save for a car,53921,3528,273,7,high,61.4
0,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,8507,2400,82,4,medium,22.7
5,wait_and_see,yes_sometimes,save_half,monthly,buy a house,142602,24015,795,7,medium,66.2
2,sell_immediately,yes_sometimes,save_all,quarterly,vacation,3709,601,19,2,low,19.3
5,buy_more,yes_sometimes,invest_all,monthly,buy a house,72701,16735,729,5,medium,80.4
12,buy_more,no_never,invest_all,weekly,wealth building,167188,63819,172,15,medium,100.0
6,wait_and_see,no_experience,save_half,quarterly,save for a car,39779,22396,180,5,medium,57.6
6,buy_more,no_never,invest_all,monthly,retirement,796385,188597,1684,10,high,100.0
4,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,244216,107349,725,7,high,82.8
5,buy_more,yes_sometimes,save_half,quarterly,save for a car,36204,10917,261,5,medium,70.1
25,buy_more,no_never,invest_all,weekly,wealth building,490868,241848,1093,20,high,100.0
5,buy_more,no_experience,invest_all,quarterly,save for a car,48733,5192,509,7,high,76.9
3,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,20365,3630,89,4,medium,23.0
6,wait_and_see,no_experience,save_half,monthly,save for a car,23534,2751,170,8,medium,64.0
10,buy_more,no_experience,save_half,monthly,retirement,209329,78292,637,10,medium,88.6
4,buy_more,yes_sometimes,save_half,quarterly,buy a house,74928,40439,531,8,high,79.0
3,buy_more,no_experience,save_half,quarterly,buy a house,69573,17236,216,7,medium,73.5
3,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,9116,854,103,2,medium,33.2
5,wait_and_see,no_experience,save_half,quarterly,save for a car,23252,8783,49,7,medium,67.7
6,buy_more,no_experience,save_half,monthly,save for a car,21742,85,160,5,medium,71.5
4,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,77951,24013,495,5,medium,57.0
3,buy_more,no_experience,invest_all,monthly,save for a car,36315,298,228,5,medium,75.2
8,wait_and_see,no_never,invest_all,monthly,wealth building,508088,325303,791,15,high,100.0
6,buy_more,yes_sometimes,save_half,monthly,buy a house,177080,48034,777,7,high,85.9
12,wait_and_see,no_never,save_half,monthly,retirement,383684,12672,893,12,medium,97.0
1,wait_and_see,yes_always,spend_it,rarely,vacation,5899,983,71,1,low,9.4
12,wait_and_see,no_experience,save_half,weekly,wealth building,122422,31121,382,15,medium,89.9
15,buy_more,no_never,invest_all,daily,retirement,691132,642277,1149,20,high,100.0
5,wait_and_see,yes_sometimes,save_half,monthly,buy a house,167211,37252,1236,8,high,67.4
1,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,6924,1336,110,2,low,27.2
0,sell_immediately,no_experience,save_half,rarely,emergency fund,15188,195,190,2,medium,15.6
4,buy_more,no_experience,invest_all,monthly,buy a house,99779,4694,818,8,high,90.4
2,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,19832,3844,207,3,low,38.1
2,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,21574,3633,183,2,medium,15.6
6,buy_more,no_experience,save_half,monthly,buy a house,115524,10059,437,7,medium,75.0
12,buy_more,no_experience,save_half,monthly,wealth building,205067,16217,837,10,high,100.0
10,wait_and_see,no_experience,invest_all,monthly,retirement,573078,187903,449,15,medium,91.2
3,wait_and_see,no_experience,save_half,monthly,save for a car,19708,1795,116,5,medium,61.7
4,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,17902,7114,99,5,medium,55.7
1,sell_immediately,no_experience,save_all,quarterly,save for a car,8411,715,33,3,low,24.0
5,wait_and_see,no_experience,invest_all,quarterly,buy a house,48454,21670,288,5,medium,75.1
6,wait_and_see,no_experience,invest_all,weekly,wealth building,176713,65570,192,15,medium,96.2
12,buy_more,no_experience,save_half,monthly,retirement,970972,295625,4481,12,high,94.4
3,sell_immediately,no_experience,save_all,quarterly,save for a car,22290,6056,209,3,medium,41.4
0,sell_immediately,yes_sometimes,save_half,rarely,save for a car,26061,968,358,3,medium,28.7
6,wait_and_see,no_experience,save_half,quarterly,buy a house,263990,57647,1389,7,high,71.8
8,wait_and_see,no_experience,invest_all,weekly,retirement,1037150,63041,6673,12,high,100.0
3,sell_immediately,yes_sometimes,save_all,rarely,save for a car,29086,12891,177,3,medium,34.3
4,wait_and_see,yes_sometimes,save_half,monthly,buy a house,149577,5044,1474,5,medium,65.8
8,buy_more,no_experience,save_half,weekly,retirement,372485,56145,1642,12,medium,94.8
6,wait_and_see,no_experience,save_half,monthly,save for a car,19819,9528,55,7,medium,70.9
5,buy_more,no_experience,save_half,monthly,save for a car,51376,23371,202,5,high,72.7
6,buy_more,yes_sometimes,save_half,monthly,buy a house,100558,9756,671,7,medium,78.9
1,wait_and_see,yes_sometimes,save_all,quarterly,save for a car,13519,4113,58,3,low,33.5
6,buy_more,no_experience,save_half,quarterly,save for a car,36045,3968,253,8,medium,70.0
5,wait_and_see,no_experience,invest_all,monthly,save for a car,59604,33995,275,8,high,76.3
6,buy_more,no_experience,invest_all,weekly,retirement,361594,63749,2720,10,high,100.0
5,buy_more,yes_sometimes,invest_all,quarterly,buy a house,213831,53965,704,8,high,87.9
12,wait_and_see,no_never,save_half,weekly,wealth building,142753,1122,342,15,medium,98.8
3,wait_and_see,no_experience,invest_all,monthly,buy a house,48490,15355,202,8,medium,77.6
10,buy_more,no_experience,invest_all,weekly,wealth building,190132,61251,370,15,high,100.0
6,buy_more,yes_sometimes,save_half,monthly,buy a house,126591,57204,329,7,high,85.1
6,wait_and_see,no_experience,save_half,monthly,save for a car,23836,6771,215,5,medium,64.6
4,wait_and_see,no_experience,save_half,quarterly,save for a car,23694,82,313,5,medium,59.2
15,buy_more,no_never,invest_all,daily,retirement,551067,284952,1045,30,high,100.0
2,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,4715,219,64,1,low,17.2
5,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,36236,6104,92,7,medium,52.1
3,wait_and_see,no_experience,save_half,rarely,save for a car,34383,6673,437,2,medium,44.7
3,wait_and_see,no_experience,save_all,quarterly,save for a car,27891,1784,331,3,medium,49.6
3,wait_and_see,no_experience,invest_all,quarterly,buy a house,133292,37214,193,8,medium,71.9
3,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,18169,2267,77,4,medium,27.4
12,buy_more,no_never,save_half,monthly,wealth building,57569,27917,108,10,medium,100.0
4,buy_more,yes_sometimes,invest_all,monthly,buy a house,48467,6112,222,7,medium,83.3
6,buy_more,no_experience,invest_all,monthly,wealth building,225447,55845,1478,10,high,100.0
2,sell_immediately,no_experience,save_all,rarely,emergency fund,11976,368,62,3,low,17.8
10,buy_more,no_experience,invest_all,weekly,retirement,394893,120913,397,15,high,100.0
3,wait_and_see,no_experience,save_half,quarterly,save for a car,35755,11491,79,8,medium,61.1
6,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,22846,7802,60,8,high,68.1
6,buy_more,no_experience,save_half,quarterly,buy a house,252576,113145,2413,5,high,81.8
12,wait_and_see,no_experience,save_half,weekly,retirement,235092,88461,291,15,medium,98.5
3,sell_immediately,no_experience,save_all,rarely,emergency fund,22675,3557,477,2,medium,23.9
2,wait_and_see,yes_always,save_all,quarterly,emergency fund,9136,1290,155,2,low,23.9
3,wait_and_see,no_experience,save_half,monthly,buy a house,127750,33338,578,5,medium,65.5
3,wait_and_see,no_experience,save_half,monthly,save for a car,14715,5574,75,7,medium,61.8
6,buy_more,no_never,save_half,monthly,retirement,1011222,236970,5142,15,high,100.0
8,buy_more,no_experience,invest_all,weekly,retirement,256343,74874,888,10,high,100.0
3,wait_and_see,no_experience,save_half,quarterly,buy a house,128488,31816,274,7,medium,57.4
6,wait_and_see,yes_sometimes,save_half,monthly,save for a car,20773,8853,103,7,medium,64.7
8,wait_and_see,no_experience,save_half,monthly,wealth building,52725,5674,109,15,medium,73.1
5,buy_more,no_experience,save_half,monthly,buy a house,142903,6636,1007,5,medium,71.8
6,wait_and_see,no_experience,invest_all,monthly,buy a house,104634,27828,270,8,medium,79.7
8,buy_more,no_never,save_half,weekly,retirement,196113,58189,817,10,medium,98.6
2,wait_and_see,yes_always,spend_it,quarterly,vacation,3277,145,44,1,low,16.2
12,buy_more,no_never,invest_all,monthly,retirement,175428,15752,395,15,medium,100.0
3,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,42555,5114,346,8,high,60.9
4,wait_and_see,no_experience,save_half,monthly,save for a car,58641,11179,323,5,high,66.4
2,wait_and_see,no_experience,save_half,rarely,save for a car,22952,184,203,2,low,36.5
0,wait_and_see,yes_sometimes,save_all,rarely,vacation,8381,21,153,2,medium,29.2
12,wait_and_see,no_never,save_half,monthly,wealth building,119580,71668,532,12,high,96.6
3,wait_and_see,no_experience,invest_all,monthly,save for a car,23172,644,137,5,medium,68.0
1,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,11087,265,114,4,low,46.2
5,buy_more,yes_sometimes,save_half,quarterly,save for a car,54643,2334,304,7,high,67.2
10,buy_more,no_never,save_half,monthly,retirement,400420,5975,1362,12,medium,98.6
0,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,18300,727,268,4,medium,28.2
0,wait_and_see,no_experience,save_half,rarely,save for a car,31046,5559,441,2,medium,44.9
5,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,24163,2341,96,5,medium,66.4
8,buy_more,no_never,invest_all,monthly,retirement,407296,77537,638,10,medium,100.0
4,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,23642,11657,130,5,medium,64.3
1,wait_and_see,yes_always,spend_it,quarterly,emergency fund,11575,2584,180,2,medium,22.6
6,wait_and_see,yes_sometimes,save_half,monthly,buy a house,189767,17569,1624,8,high,73.4
5,wait_and_see,no_experience,invest_all,monthly,buy a house,61528,9199,306,8,medium,74.5
15,buy_more,no_never,invest_all,daily,wealth building,150188,5071,206,30,high,100.0
5,wait_and_see,no_experience,save_half,monthly,buy a house,52693,14783,89,7,medium,71.0
10,buy_more,no_never,invest_all,monthly,retirement,384244,25027,978,10,medium,100.0
0,sell_immediately,no_experience,save_all,quarterly,save for a car,14968,2940,160,3,low,26.5
6,wait_and_see,no_experience,invest_all,weekly,retirement,310439,88002,909,10,medium,94.5
2,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,16736,756,487,2,medium,14.1
4,buy_more,no_experience,invest_all,monthly,save for a car,39246,1836,183,5,medium,74.7
2,wait_and_see,yes_sometimes,save_all,rarely,vacation,3452,9,39,2,low,23.8
3,sell_immediately,no_experience,save_all,quarterly,save for a car,14674,6110,106,3,medium,36.9
3,wait_and_see,no_experience,save_half,rarely,save for a car,20341,3122,132,2,low,42.7
0,sell_immediately,no_experience,save_all,rarely,emergency fund,4456,393,52,3,low,11.2
4,buy_more,yes_sometimes,invest_all,quarterly,buy a house,161238,33234,688,8,high,86.1
4,buy_more,no_experience,save_half,monthly,buy a house,142105,83742,727,7,high,82.4
3,sell_immediately,no_experience,save_half,quarterly,emergency fund,12829,1080,139,3,low,26.3
1,wait_and_see,yes_sometimes,save_half,rarely,emergency fund,6443,293,152,2,medium,38.0
0,sell_immediately,no_experience,save_half,rarely,emergency fund,8638,1898,115,3,medium,23.8
0,sell_immediately,yes_always,save_all,quarterly,emergency fund,21069,10063,399,1,medium,9.9
3,wait_and_see,no_experience,save_half,monthly,buy a house,58901,7151,401,7,medium,64.0
3,sell_immediately,yes_sometimes,save_half,quarterly,emergency fund,9439,186,221,2,medium,34.4
0,wait_and_see,no_experience,save_all,quarterly,emergency fund,5004,449,35,2,low,20.6
8,wait_and_see,no_experience,invest_all,weekly,wealth building,270653,186240,850,12,high,100.0
6,wait_and_see,yes_sometimes,save_half,monthly,save for a car,26315,4153,180,8,medium,72.8
4,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,45308,10345,724,5,high,78.8
12,buy_more,no_never,save_half,monthly,wealth building,188750,60622,218,12,medium,100.0
5,buy_more,yes_sometimes,save_half,quarterly,save for a car,28991,12228,69,7,medium,65.6
5,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,130331,28010,1262,5,medium,74.4
2,sell_immediately,no_experience,save_half,quarterly,emergency fund,14807,647,86,4,low,27.3
4,wait_and_see,yes_sometimes,save_half,monthly,save for a car,20732,1321,120,7,medium,62.4
2,sell_immediately,yes_always,spend_it,rarely,emergency fund,3780,257,82,2,low,1.6
10,wait_and_see,no_experience,invest_all,weekly,wealth building,477988,184647,1940,10,high,94.2
3,wait_and_see,no_experience,save_half,quarterly,buy a house,117248,30172,293,5,medium,63.9
4,buy_more,no_experience,invest_all,monthly,buy a house,109443,4083,385,8,medium,77.7
6,wait_and_see,no_experience,save_half,monthly,buy a house,197747,34812,886,5,high,73.1
3,buy_more,no_experience,save_half,monthly,buy a house,120464,38344,304,8,medium,74.8
12,wait_and_see,no_never,invest_all,monthly,retirement,503180,28142,1213,15,high,100.0
3,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,137724,24349,1129,5,medium,74.6
6,wait_and_see,no_never,save_half,weekly,wealth building,279987,97448,347,15,high,99.5
3,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,29743,8223,248,5,medium,52.5
10,wait_and_see,no_never,save_half,monthly,wealth building,185968,11593,366,12,medium,83.2
0,wait_and_see,yes_always,spend_it,rarely,vacation,7113,1804,102,1,low,11.1
3,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,130096,13602,1110,7,medium,74.5
1,wait_and_see,no_experience,save_half,rarely,emergency fund,5219,1820,76,2,medium,38.1
6,wait_and_see,no_experience,invest_all,monthly,save for a car,15172,963,111,5,medium,78.8
4,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,94578,18811,566,7,high,63.6
5,wait_and_see,no_experience,save_half,quarterly,save for a car,46265,10987,308,7,high,62.6
5,buy_more,no_experience,invest_all,quarterly,buy a house,116863,18042,541,8,high,83.8
4,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,48541,3893,183,7,medium,62.9
2,sell_immediately,yes_always,spend_it,quarterly,emergency fund,18940,3848,414,2,medium,9.5
6,buy_more,no_experience,save_half,quarterly,save for a car,25022,1797,416,5,high,77.9
3,wait_and_see,no_experience,invest_all,monthly,buy a house,73793,17196,487,7,medium,69.9
8,wait_and_see,no_never,invest_all,monthly,wealth building,209736,4732,1154,10,medium,97.1
2,sell_immediately,yes_sometimes,save_all,rarely,vacation,5121,657,194,1,low,13.9
1,sell_immediately,yes_sometimes,save_all,rarely,save for a car,9130,2729,51,2,low,21.1
6,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,91294,6559,558,8,medium,73.0
12,buy_more,no_never,save_half,weekly,retirement,600045,165494,1995,15,medium,100.0
0,sell_immediately,yes_sometimes,save_all,rarely,save for a car,16128,2041,183,3,medium,27.0
6,wait_and_see,yes_sometimes,save_half,monthly,save for a car,20549,8066,38,8,high,72.4
3,wait_and_see,no_experience,save_all,quarterly,emergency fund,18017,10048,119,3,medium,40.0
6,wait_and_see,no_never,save_half,monthly,retirement,307942,21396,1197,12,medium,94.5
3,wait_and_see,yes_sometimes,save_half,monthly,save for a car,32918,7729,321,5,medium,57.3
3,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,279600,161633,1092,8,high,80.3
8,buy_more,no_experience,save_half,weekly,wealth building,112894,17486,216,15,medium,88.0
1,sell_immediately,yes_always,spend_it,rarely,vacation,7596,1757,114,2,low,7.4
3,wait_and_see,no_experience,save_all,quarterly,emergency fund,13664,1176,286,2,low,36.1
20,buy_more,no_never,invest_all,daily,wealth building,599587,27926,1033,30,high,100.0
6,buy_more,no_experience,invest_all,monthly,retirement,744823,226433,3351,15,high,100.0
4,buy_more,yes_sometimes,save_half,monthly,buy a house,95039,1211,862,5,medium,76.8
6,wait_and_see,no_never,save_half,weekly,wealth building,166621,60586,304,12,high,100.0
1,wait_and_see,yes_sometimes,save_half,quarterly,emergency fund,8956,243,82,3,low,24.7
6,buy_more,no_experience,save_half,quarterly,buy a house,183289,55868,965,7,high,76.3
10,wait_and_see,no_never,invest_all,monthly,retirement,639608,49848,2535,15,high,100.0
8,wait_and_see,no_experience,save_half,monthly,wealth building,142815,22853,326,10,medium,75.1
6,buy_more,no_experience,save_half,quarterly,buy a house,88887,21647,412,8,high,80.5
5,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,109451,20792,1164,5,medium,62.3
10,buy_more,no_never,save_half,monthly,wealth building,405887,256017,1058,15,high,100.0
2,wait_and_see,no_experience,save_all,quarterly,save for a car,14285,5052,99,4,medium,42.9
6,wait_and_see,yes_sometimes,save_half,monthly,buy a house,90698,13497,743,5,medium,70.9
6,wait_and_see,no_experience,save_half,weekly,retirement,606434,179686,1083,12,high,97.3
2,sell_immediately,yes_sometimes,spend_it,quarterly,emergency fund,14407,3999,79,2,low,17.5
3,wait_and_see,yes_sometimes,invest_all,monthly,save for a car,39005,9035,44,8,medium,66.1
4,buy_more,yes_sometimes,save_half,quarterly,save for a car,22239,9053,52,8,medium,64.1
6,buy_more,no_experience,save_half,quarterly,buy a house,62586,12986,277,5,medium,68.1
4,wait_and_see,yes_sometimes,save_half,monthly,save for a car,31727,5155,143,8,medium,59.6
5,wait_and_see,no_experience,save_half,quarterly,buy a house,163684,13772,3152,5,high,68.2
6,wait_and_see,no_experience,invest_all,weekly,retirement,477840,60989,1080,15,high,100.0
5,buy_more,no_experience,save_half,quarterly,buy a house,92310,11236,338,8,medium,65.2
0,wait_and_see,no_experience,save_all,quarterly,save for a car,32107,3327,218,4,medium,41.6
12,wait_and_see,no_experience,save_half,weekly,wealth building,345527,109950,1392,15,high,100.0
3,sell_immediately,yes_sometimes,save_all,quarterly,emergency fund,17816,4290,88,3,medium,26.1
4,wait_and_see,yes_sometimes,save_half,monthly,save for a car,22267,8628,85,7,high,65.3
6,wait_and_see,no_experience,save_half,weekly,retirement,430355,151594,1025,10,medium,81.9
6,wait_and_see,no_experience,invest_all,monthly,buy a house,127551,58427,307,8,medium,80.4
3,wait_and_see,no_experience,save_half,monthly,buy a house,209022,1314,2858,5,high,76.1
8,buy_more,no_experience,invest_all,weekly,wealth building,192257,52131,966,15,high,100.0
12,wait_and_see,no_experience,invest_all,monthly,retirement,535443,78002,4390,12,high,100.0
5,wait_and_see,no_experience,save_half,quarterly,save for a car,28567,5851,55,7,medium,51.6
6,buy_more,no_experience,invest_all,monthly,wealth building,371203,92179,412,15,high,100.0
20,buy_more,no_never,invest_all,weekly,retirement,567399,184698,1619,30,high,100.0
6,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,28897,2865,152,7,medium,61.1
3,wait_and_see,no_experience,invest_all,quarterly,save for a car,40123,13862,405,5,high,78.0
5,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,53312,17864,100,8,medium,66.3
12,wait_and_see,no_never,save_half,monthly,retirement,756721,286110,1084,15,high,100.0
12,buy_more,no_experience,invest_all,weekly,wealth building,64080,18420,190,12,medium,100.0
8,wait_and_see,no_never,invest_all,weekly,retirement,631958,21545,3267,10,medium,100.0
6,wait_and_see,yes_sometimes,invest_all,monthly,buy a house,134295,24709,387,7,medium,73.6
3,wait_and_see,no_experience,save_half,rarely,save for a car,16766,4013,114,4,low,44.6
5,wait_and_see,no_experience,save_half,quarterly,save for a car,33649,3875,211,5,high,67.3
0,sell_immediately,yes_sometimes,spend_it,rarely,emergency fund,7317,829,308,1,medium,6.3
3,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,128764,35630,402,8,high,75.7
15,buy_more,no_never,invest_all,weekly,retirement,614818,36662,2428,20,high,100.0
8,buy_more,no_experience,save_half,monthly,wealth building,95605,38048,228,10,medium,87.6
3,sell_immediately,yes_sometimes,save_all,rarely,save for a car,19130,3608,90,3,medium,29.4
10,buy_more,no_experience,save_half,monthly,retirement,713080,37169,5407,10,high,92.1
6,wait_and_see,no_never,invest_all,weekly,wealth building,447436,229551,2212,10,high,100.0
1,wait_and_see,no_experience,save_all,quarterly,save for a car,20556,3288,326,2,medium,41.6
6,wait_and_see,yes_sometimes,save_half,monthly,buy a house,69204,14600,126,8,medium,68.0
3,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,128588,42132,585,7,high,69.1
0,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,5411,1571,67,2,medium,27.1
2,sell_immediately,yes_sometimes,save_all,rarely,vacation,12644,5034,363,1,medium,22.5
3,sell_immediately,no_experience,save_half,quarterly,save for a car,30394,651,442,2,medium,41.1
0,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,16848,3739,117,4,medium,28.1
25,buy_more,no_never,invest_all,weekly,retirement,451208,250625,720,25,high,100.0
8,wait_and_see,no_experience,invest_all,monthly,wealth building,200405,7528,1153,10,medium,83.1
10,buy_more,no_never,invest_all,weekly,wealth building,59108,8909,93,12,medium,100.0
3,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,199951,19668,686,8,high,70.5
6,wait_and_see,yes_sometimes,invest_all,quarterly,buy a house,113862,10439,525,5,medium,68.0
1,wait_and_see,yes_sometimes,save_all,quarterly,emergency fund,4780,44,57,4,low,29.0
0,sell_immediately,no_experience,save_half,rarely,save for a car,38749,2288,476,2,medium,30.4
1,sell_immediately,no_experience,save_all,rarely,save for a car,13223,1348,61,3,low,18.4
5,wait_and_see,no_experience,save_half,quarterly,save for a car,38460,8443,124,8,medium,54.6
8,buy_more,no_never,save_half,weekly,wealth building,159870,17758,710,10,medium,91.9
1,sell_immediately,yes_always,save_all,rarely,emergency fund,6033,252,175,1,medium,11.2
3,wait_and_see,yes_sometimes,save_half,quarterly,buy a house,86489,34012,174,8,medium,58.1
15,buy_more,no_never,invest_all,weekly,wealth building,467606,80414,474,25,high,100.0
4,wait_and_see,no_experience,save_half,monthly,save for a car,26454,4220,177,7,high,73.4
3,wait_and_see,no_experience,invest_all,quarterly,save for a car,20405,5375,98,5,high,68.2
8,wait_and_see,no_never,invest_all,monthly,retirement,1079261,391682,2692,10,high,100.0
8,wait_and_see,no_experience,save_half,weekly,wealth building,217842,11303,572,12,medium,78.5
3,wait_and_see,no_experience,save_half,quarterly,buy a house,285235,16497,3202,8,high,69.2
5,wait_and_see,no_experience,save_half,monthly,save for a car,14702,5068,94,5,medium,57.4
3,wait_and_see,no_experience,save_all,quarterly,emergency fund,7153,1248,25,4,low,33.2
15,buy_more,no_never,invest_all,daily,wealth building,98897,36773,317,20,high,100.0
2,wait_and_see,yes_sometimes,save_all,rarely,save for a car,12261,4767,43,4,medium,42.4
0,sell_immediately,yes_sometimes,save_all,rarely,vacation,4886,1604,63,1,low,8.4
1,wait_and_see,no_experience,save_half,rarely,emergency fund,12123,399,88,4,low,30.0
1,sell_immediately,yes_sometimes,spend_it,rarely,vacation,8623,1420,392,1,medium,15.4
10,wait_and_see,no_never,save_half,weekly,wealth building,403000,240295,839,15,high,99.3
3,wait_and_see,yes_sometimes,save_half,quarterly,emergency fund,8582,965,41,4,low,38.0
20,buy_more,no_never,invest_all,weekly,retirement,471256,109929,1154,20,high,100.0
10,buy_more,no_experience,save_half,monthly,retirement,348611,80644,1275,12,medium,91.5
3,wait_and_see,no_experience,save_half,monthly,save for a car,22086,5856,184,5,medium,65.8
3,sell_immediately,no_experience,save_half,quarterly,save for a car,15689,73,183,4,low,44.3
8,wait_and_see,no_never,invest_all,weekly,retirement,419283,150625,813,12,high,100.0
6,buy_more,no_never,invest_all,monthly,wealth building,206778,20654,986,15,high,100.0
5,wait_and_see,no_experience,invest_all,quarterly,buy a house,52179,18915,255,7,medium,71.3
0,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,9479,1046,41,4,low,11.3
1,wait_and_see,yes_sometimes,save_all,rarely,emergency fund,10331,698,89,3,low,23.0
6,wait_and_see,no_experience,invest_all,monthly,save for a car,24038,9244,123,7,medium,75.6
8,buy_more,no_never,save_half,monthly,wealth building,110954,3293,315,10,medium,92.1
6,wait_and_see,yes_sometimes,save_half,quarterly,save for a car,30697,3036,209,7,medium,66.5
6,buy_more,no_experience,invest_all,weekly,wealth building,385956,2097,1126,12,high,100.0
2,wait_and_see,no_experience,save_half,rarely,emergency fund,10727,2139,64,2,low,26.5
4,wait_and_see,no_experience,invest_all,monthly,save for a car,36990,728,123,8,medium,74.3
25,buy_more,no_never,invest_all,weekly,retirement,1144810,672345,1463,25,high,100.0
5,buy_more,no_experience,invest_all,quarterly,save for a car,28017,408,134,7,medium,71.1
6,buy_more,no_experience,save_half,monthly,save for a car,55935,12178,234,7,high,82.7
20,buy_more,no_never,invest_all,weekly,wealth building,353944,194474,452,30,high,100.0
2,sell_immediately,yes_sometimes,save_half,rarely,emergency fund,18630,195,192,4,medium,28.9
3,buy_more,no_experience,save_half,monthly,buy a house,83556,20729,278,5,medium,74.3
8,buy_more,no_never,invest_all,weekly,wealth building,146363,85148,653,10,high,100.0
6,buy_more,yes_sometimes,save_half,quarterly,save for a car,14827,658,72,5,medium,66.4
6,wait_and_see,no_experience,invest_all,monthly,save for a car,13173,5156,53,8,medium,72.0
3,buy_more,yes_sometimes,invest_all,monthly,save for a car,20088,5898,96,7,medium,78.3
2,sell_immediately,yes_sometimes,save_all,rarely,save for a car,13944,3965,163,2,low,24.6
6,wait_and_see,no_never,invest_all,weekly,wealth building,240925,64939,2006,10,high,100.0
4,wait_and_see,no_experience,save_half,monthly,save for a car,30840,6074,129,8,medium,65.0
25,buy_more,no_never,invest_all,weekly,wealth building,112891,596,381,20,high,100.0
3,wait_and_see,no_experience,invest_all,monthly,buy a house,142990,2147,616,8,medium,71.8
